alpha,beta,mach,Cl_q [1/rad]
-0.03490658503988659,0.008726646259971648,0.5,0.2484
-0.03490658503988659,0.017453292519943295,0.5,0.2175
-0.03490658503988659,0.026179938779914945,0.5,0.0862
-0.03490658503988659,0.03490658503988659,0.5,-0.0
-0.026179938779914945,-0.03490658503988659,0.5,0.0862
-0.026179938779914945,-0.026179938779914945,0.5,-0.0
-0.026179938779914945,-0.017453292519943295,0.5,-0.1188
-0.026179938779914945,-0.008726646259971648,0.5,-0.2289
-0.026179938779914945,0.0,0.5,0.0
-0.026179938779914945,0.008726646259971648,0.5,0.2289
-0.026179938779914945,0.017453292519943295,0.5,0.1187
-0.026179938779914945,0.026179938779914945,0.5,-0.0
-0.026179938779914945,0.03490658503988659,0.5,-0.0862
-0.017453292519943295,-0.03490658503988659,0.5,0.2175
-0.017453292519943295,-0.026179938779914945,0.5,0.1188
-0.017453292519943295,-0.017453292519943295,0.5,-0.0
-0.017453292519943295,-0.008726646259971648,0.5,-0.1684
-0.017453292519943295,0.0,0.5,0.0
-0.017453292519943295,0.008726646259971648,0.5,0.1684
-0.017453292519943295,0.017453292519943295,0.5,-0.0
-0.017453292519943295,0.026179938779914945,0.5,-0.1188
-0.017453292519943295,0.03490658503988659,0.5,-0.2175
-0.008726646259971648,-0.03490658503988659,0.5,0.2484
-0.008726646259971648,-0.026179938779914945,0.5,0.2289
-0.008726646259971648,-0.017453292519943295,0.5,0.1684
-0.008726646259971648,-0.008726646259971648,0.5,-0.0
-0.008726646259971648,0.0,0.5,-0.0
-0.008726646259971648,0.008726646259971648,0.5,-0.0
-0.008726646259971648,0.017453292519943295,0.5,-0.1684
-0.008726646259971648,0.026179938779914945,0.5,-0.2289
-0.008726646259971648,0.03490658503988659,0.5,-0.2484
0.0,-0.03490658503988659,0.5,0.0
0.0,-0.026179938779914945,0.5,0.0
0.0,-0.017453292519943295,0.5,-0.0
0.0,-0.008726646259971648,0.5,0.0
0.0,0.0,0.5,0.0
0.0,0.008726646259971648,0.5,-0.0
0.0,0.017453292519943295,0.5,-0.0
0.0,0.026179938779914945,0.5,0.0
0.0,0.03490658503988659,0.5,-0.0
0.008726646259971648,-0.03490658503988659,0.5,-0.2484
0.008726646259971648,-0.026179938779914945,0.5,-0.2289
0.008726646259971648,-0.017453292519943295,0.5,-0.1684
0.008726646259971648,-0.008726646259971648,0.5,-0.0
0.008726646259971648,0.0,0.5,0.0
0.008726646259971648,0.008726646259971648,0.5,-0.0
0.008726646259971648,0.017453292519943295,0.5,0.1684
0.008726646259971648,0.026179938779914945,0.5,0.2289
0.008726646259971648,0.03490658503988659,0.5,0.2484
0.017453292519943295,-0.03490658503988659,0.5,-0.2175
0.017453292519943295,-0.026179938779914945,0.5,-0.1188
0.017453292519943295,-0.017453292519943295,0.5,-0.0
0.017453292519943295,-0.008726646259971648,0.5,0.1684
0.017453292519943295,0.0,0.5,-0.0
0.017453292519943295,0.008726646259971648,0.5,-0.1684
0.017453292519943295,0.017453292519943295,0.5,-0.0
0.017453292519943295,0.026179938779914945,0.5,0.1188
0.017453292519943295,0.03490658503988659,0.5,0.2175
0.026179938779914945,-0.03490658503988659,0.5,-0.0862
0.026179938779914945,-0.026179938779914945,0.5,0.0
0.026179938779914945,-0.017453292519943295,0.5,0.1188
0.026179938779914945,-0.008726646259971648,0.5,0.2289
0.026179938779914945,0.0,0.5,0.0
0.026179938779914945,0.008726646259971648,0.5,-0.2288
0.026179938779914945,0.017453292519943295,0.5,-0.1188
0.026179938779914945,0.026179938779914945,0.5,-0.0
0.026179938779914945,0.03490658503988659,0.5,0.0862
0.03490658503988659,-0.03490658503988659,0.5,-0.0
0.03490658503988659,-0.026179938779914945,0.5,0.0862
0.03490658503988659,-0.017453292519943295,0.5,0.2175
0.03490658503988659,-0.008726646259971648,0.5,0.2484
0.03490658503988659,0.0,0.5,-0.0
0.03490658503988659,0.008726646259971648,0.5,-0.2484
0.03490658503988659,0.017453292519943295,0.5,-0.2175
0.03490658503988659,0.026179938779914945,0.5,-0.0862
0.03490658503988659,0.03490658503988659,0.5,-0.0
-0.03490658503988659,-0.03490658503988659,0.6,-0.0
-0.03490658503988659,-0.026179938779914945,0.6,-0.0858
-0.03490658503988659,-0.017453292519943295,0.6,-0.2068
-0.03490658503988659,-0.008726646259971648,0.6,-0.2247
-0.03490658503988659,0.0,0.6,-0.0
-0.03490658503988659,0.008726646259971648,0.6,0.2248
-0.03490658503988659,0.017453292519943295,0.6,0.2068
-0.03490658503988659,0.026179938779914945,0.6,0.0858
-0.03490658503988659,0.03490658503988659,0.6,-0.0
-0.026179938779914945,-0.03490658503988659,0.6,0.0858
-0.026179938779914945,-0.026179938779914945,0.6,-0.0
-0.026179938779914945,-0.017453292519943295,0.6,-0.1158
-0.026179938779914945,-0.008726646259971648,0.6,-0.2042
-0.026179938779914945,0.0,0.6,-0.0
-0.026179938779914945,0.008726646259971648,0.6,0.2042
-0.026179938779914945,0.017453292519943295,0.6,0.1158
-0.026179938779914945,0.026179938779914945,0.6,-0.0
-0.026179938779914945,0.03490658503988659,0.6,-0.0858
-0.017453292519943295,-0.03490658503988659,0.6,0.2068
-0.017453292519943295,-0.026179938779914945,0.6,0.1158
-0.017453292519943295,-0.017453292519943295,0.6,-0.0
-0.017453292519943295,-0.008726646259971648,0.6,-0.1542
-0.017453292519943295,0.0,0.6,0.0
-0.017453292519943295,0.008726646259971648,0.6,0.1542
-0.017453292519943295,0.017453292519943295,0.6,-0.0
-0.017453292519943295,0.026179938779914945,0.6,-0.1158
-0.017453292519943295,0.03490658503988659,0.6,-0.2068
-0.008726646259971648,-0.03490658503988659,0.6,0.2247
-0.008726646259971648,-0.026179938779914945,0.6,0.2042
-0.008726646259971648,-0.017453292519943295,0.6,0.1542
