alpha,beta,mach,Cl_p [1/rad]
0.026179938779914945,0.026179938779914945,0.4,-29.769
0.026179938779914945,0.03490658503988659,0.4,-30.1342
0.03490658503988659,-0.03490658503988659,0.4,-30.3749
0.03490658503988659,-0.026179938779914945,0.4,-30.1342
0.03490658503988659,-0.017453292519943295,0.4,-29.9485
0.03490658503988659,-0.008726646259971648,0.4,-29.8346
0.03490658503988659,0.0,0.4,-29.7962
0.03490658503988659,0.008726646259971648,0.4,-29.8362
0.03490658503988659,0.017453292519943295,0.4,-29.9507
0.03490658503988659,0.026179938779914945,0.4,-30.1356
0.03490658503988659,0.03490658503988659,0.4,-30.3749
-0.03490658503988659,-0.03490658503988659,0.5,-30.8702
-0.03490658503988659,-0.026179938779914945,0.5,-30.6423
-0.03490658503988659,-0.017453292519943295,0.5,-30.4509
-0.03490658503988659,-0.008726646259971648,0.5,-30.3328
-0.03490658503988659,0.0,0.5,-30.2912
-0.03490658503988659,0.008726646259971648,0.5,-30.3312
-0.03490658503988659,0.017453292519943295,0.5,-30.4488
-0.03490658503988659,0.026179938779914945,0.5,-30.6408
-0.03490658503988659,0.03490658503988659,0.5,-30.8702
-0.026179938779914945,-0.03490658503988659,0.5,-30.6408
-0.026179938779914945,-0.026179938779914945,0.5,-30.2672
-0.026179938779914945,-0.017453292519943295,0.5,-29.9996
-0.026179938779914945,-0.008726646259971648,0.5,-29.8376
-0.026179938779914945,0.0,0.5,-29.781
-0.026179938779914945,0.008726646259971648,0.5,-29.8368
-0.026179938779914945,0.017453292519943295,0.5,-29.9986
-0.026179938779914945,0.026179938779914945,0.5,-30.2672
-0.026179938779914945,0.03490658503988659,0.5,-30.6423
-0.017453292519943295,-0.03490658503988659,0.5,-30.4488
-0.017453292519943295,-0.026179938779914945,0.5,-29.9986
-0.017453292519943295,-0.017453292519943295,0.5,-29.6533
-0.017453292519943295,-0.008726646259971648,0.5,-29.4462
-0.017453292519943295,0.0,0.5,-29.3807
-0.017453292519943295,0.008726646259971648,0.5,-29.446
-0.017453292519943295,0.017453292519943295,0.5,-29.6533
-0.017453292519943295,0.026179938779914945,0.5,-29.9996
-0.017453292519943295,0.03490658503988659,0.5,-30.4509
-0.008726646259971648,-0.03490658503988659,0.5,-30.3312
-0.008726646259971648,-0.026179938779914945,0.5,-29.8368
-0.008726646259971648,-0.017453292519943295,0.5,-29.446
-0.008726646259971648,-0.008726646259971648,0.5,-29.1957
-0.008726646259971648,0.0,0.5,-29.1096
-0.008726646259971648,0.008726646259971648,0.5,-29.1957
-0.008726646259971648,0.017453292519943295,0.5,-29.4462
-0.008726646259971648,0.026179938779914945,0.5,-29.8376
-0.008726646259971648,0.03490658503988659,0.5,-30.3328
0.0,-0.03490658503988659,0.5,-30.2912
0.0,-0.026179938779914945,0.5,-29.781
0.0,-0.017453292519943295,0.5,-29.3807
0.0,-0.008726646259971648,0.5,-29.1096
0.0,0.0,0.5,-29.0102
0.0,0.008726646259971648,0.5,-29.1096
0.0,0.017453292519943295,0.5,-29.3807
0.0,0.026179938779914945,0.5,-29.781
0.0,0.03490658503988659,0.5,-30.2912
0.008726646259971648,-0.03490658503988659,0.5,-30.3328
0.008726646259971648,-0.026179938779914945,0.5,-29.8376
0.008726646259971648,-0.017453292519943295,0.5,-29.4462
0.008726646259971648,-0.008726646259971648,0.5,-29.1957
0.008726646259971648,0.0,0.5,-29.1096
0.008726646259971648,0.008726646259971648,0.5,-29.1957
0.008726646259971648,0.017453292519943295,0.5,-29.446
0.008726646259971648,0.026179938779914945,0.5,-29.8368
0.008726646259971648,0.03490658503988659,0.5,-30.3312
0.017453292519943295,-0.03490658503988659,0.5,-30.4509
0.017453292519943295,-0.026179938779914945,0.5,-29.9996
0.017453292519943295,-0.017453292519943295,0.5,-29.6533
0.017453292519943295,-0.008726646259971648,0.5,-29.446
0.017453292519943295,0.0,0.5,-29.3807
0.017453292519943295,0.008726646259971648,0.5,-29.4462
0.017453292519943295,0.017453292519943295,0.5,-29.6533
0.017453292519943295,0.026179938779914945,0.5,-29.9986
0.017453292519943295,0.03490658503988659,0.5,-30.4488
