alpha,beta,mach,Cnq [1/rad]
-0.008726646259971648,0.026179938779914945,0.4,1011.8488
-0.008726646259971648,0.03490658503988659,0.4,1046.448
0.0,-0.03490658503988659,0.4,-1097.1189
0.0,-0.026179938779914945,0.4,-1089.02
0.0,-0.017453292519943295,0.4,-1079.1737
0.0,-0.008726646259971648,0.4,-1067.9235
0.0,0.0,0.4,0.0
0.0,0.008726646259971648,0.4,1067.9236
0.0,0.017453292519943295,0.4,1079.1738
0.0,0.026179938779914945,0.4,1089.02
0.0,0.03490658503988659,0.4,1097.1189
0.008726646259971648,-0.03490658503988659,0.4,-1046.4475
0.008726646259971648,-0.026179938779914945,0.4,-1011.8486
0.008726646259971648,-0.017453292519943295,0.4,-942.4379
0.008726646259971648,-0.008726646259971648,0.4,-761.0915
0.008726646259971648,0.0,0.4,0.0
0.008726646259971648,0.008726646259971648,0.4,761.0916
0.008726646259971648,0.017453292519943295,0.4,942.438
0.008726646259971648,0.026179938779914945,0.4,1011.8486
0.008726646259971648,0.03490658503988659,0.4,1046.448
0.017453292519943295,-0.03490658503988659,0.4,-945.6835
0.017453292519943295,-0.026179938779914945,0.4,-876.8214
0.017453292519943295,-0.017453292519943295,0.4,-762.2274
0.017453292519943295,-0.008726646259971648,0.4,-511.6054
0.017453292519943295,0.0,0.4,0.0
0.017453292519943295,0.008726646259971648,0.4,511.6055
0.017453292519943295,0.017453292519943295,0.4,762.2274
0.017453292519943295,0.026179938779914945,0.4,876.8214
0.017453292519943295,0.03490658503988659,0.4,945.6835
0.026179938779914945,-0.03490658503988659,0.4,-841.5667
0.026179938779914945,-0.026179938779914945,0.4,-760.0629
0.026179938779914945,-0.017453292519943295,0.4,-621.1192
0.026179938779914945,-0.008726646259971648,0.4,-368.3147
0.026179938779914945,0.0,0.4,0.0001
0.026179938779914945,0.008726646259971648,0.4,368.3148
0.026179938779914945,0.017453292519943295,0.4,621.1192
0.026179938779914945,0.026179938779914945,0.4,760.0629
0.026179938779914945,0.03490658503988659,0.4,841.5668
0.03490658503988659,-0.03490658503988659,0.4,-754.8471
0.03490658503988659,-0.026179938779914945,0.4,-661.6022
0.03490658503988659,-0.017453292519943295,0.4,-508.4168
0.03490658503988659,-0.008726646259971648,0.4,-282.899
0.03490658503988659,0.0,0.4,0.0001
0.03490658503988659,0.008726646259971648,0.4,282.899
0.03490658503988659,0.017453292519943295,0.4,508.4168
0.03490658503988659,0.026179938779914945,0.4,661.6025
0.03490658503988659,0.03490658503988659,0.4,754.8471
-0.03490658503988659,-0.03490658503988659,0.5,-750.2241
-0.03490658503988659,-0.026179938779914945,0.5,-656.8896
-0.03490658503988659,-0.017453292519943295,0.5,-504.2938
-0.03490658503988659,-0.008726646259971648,0.5,-280.1752
-0.03490658503988659,0.0,0.5,0.0001
-0.03490658503988659,0.008726646259971648,0.5,280.1751
-0.03490658503988659,0.017453292519943295,0.5,504.2938
-0.03490658503988659,0.026179938779914945,0.5,656.8896
-0.03490658503988659,0.03490658503988659,0.5,750.2242
-0.026179938779914945,-0.03490658503988659,0.5,-838.9464
-0.026179938779914945,-0.026179938779914945,0.5,-756.928
-0.026179938779914945,-0.017453292519943295,0.5,-617.77
-0.026179938779914945,-0.008726646259971648,0.5,-365.9255
-0.026179938779914945,0.0,0.5,0.0001
-0.026179938779914945,0.008726646259971648,0.5,365.9254
-0.026179938779914945,0.017453292519943295,0.5,617.7701
-0.026179938779914945,0.026179938779914945,0.5,756.928
-0.026179938779914945,0.03490658503988659,0.5,838.9462
-0.017453292519943295,-0.03490658503988659,0.5,-945.8448
-0.017453292519943295,-0.026179938779914945,0.5,-876.3156
-0.017453292519943295,-0.017453292519943295,0.5,-760.6415
-0.017453292519943295,-0.008726646259971648,0.5,-509.5984
-0.017453292519943295,0.0,0.5,0.0
-0.017453292519943295,0.008726646259971648,0.5,509.5983
-0.017453292519943295,0.017453292519943295,0.5,760.6416
-0.017453292519943295,0.026179938779914945,0.5,876.3158
-0.017453292519943295,0.03490658503988659,0.5,945.845
-0.008726646259971648,-0.03490658503988659,0.5,-1050.0131
-0.008726646259971648,-0.026179938779914945,0.5,-1015.1312
-0.008726646259971648,-0.017453292519943295,0.5,-944.808
-0.008726646259971648,-0.008726646259971648,0.5,-761.0176
-0.008726646259971648,0.0,0.5,0.0
-0.008726646259971648,0.008726646259971648,0.5,761.0175
-0.008726646259971648,0.017453292519943295,0.5,944.8081
-0.008726646259971648,0.026179938779914945,0.5,1015.1315
-0.008726646259971648,0.03490658503988659,0.5,1050.0133
0.0,-0.03490658503988659,0.5,-1102.0813
0.0,-0.026179938779914945,0.5,-1094.814
0.0,-0.017453292519943295,0.5,-1085.7988
0.0,-0.008726646259971648,0.5,-1075.333
0.0,0.0,0.5,0.0001
0.0,0.008726646259971648,0.5,1075.3333
0.0,0.017453292519943295,0.5,1085.7991
0.0,0.026179938779914945,0.5,1094.814
0.0,0.03490658503988659,0.5,1102.0813
0.008726646259971648,-0.03490658503988659,0.5,-1050.0131
0.008726646259971648,-0.026179938779914945,0.5,-1015.1313
0.008726646259971648,-0.017453292519943295,0.5,-944.808
0.008726646259971648,-0.008726646259971648,0.5,-761.0175
0.008726646259971648,0.0,0.5,0.0001
0.008726646259971648,0.008726646259971648,0.5,761.0176
0.008726646259971648,0.017453292519943295,0.5,944.808
0.008726646259971648,0.026179938779914945,0.5,1015.1315
0.008726646259971648,0.03490658503988659,0.5,1050.0131
0.017453292519943295,-0.03490658503988659,0.5,-945.8448
0.017453292519943295,-0.026179938779914945,0.5,-876.3157
0.017453292519943295,-0.017453292519943295,0.5,-760.6414
0.017453292519943295,-0.008726646259971648,0.5,-509.5982
0.017453292519943295,0.0,0.5,0.0001
0.017453292519943295,0.008726646259971648,0.5,509.5982
0.017453292519943295,0.017453292519943295,0.5,760.6416
0.017453292519943295,0.026179938779914945,0.5,876.3157
0.017453292519943295,0.03490658503988659,0.5,945.8448
0.026179938779914945,-0.03490658503988659,0.5,-838.9464
0.026179938779914945,-0.026179938779914945,0.5,-756.9279
0.026179938779914945,-0.017453292519943295,0.5,-617.77
0.026179938779914945,-0.008726646259971648,0.5,-365.9254
0.026179938779914945,0.0,0.5,0.0
0.026179938779914945,0.008726646259971648,0.5,365.9255
0.026179938779914945,0.017453292519943295,0.5,617.77
0.026179938779914945,0.026179938779914945,0.5,756.928
0.026179938779914945,0.03490658503988659,0.5,838.9464
0.03490658503988659,-0.03490658503988659,0.5,-750.2241
0.03490658503988659,-0.026179938779914945,0.5,-656.8895
0.03490658503988659,-0.017453292519943295,0.5,-504.2936
0.03490658503988659,-0.008726646259971648,0.5,-280.175
0.03490658503988659,0.0,0.5,0.0001
0.03490658503988659,0.008726646259971648,0.5,280.175
0.03490658503988659,0.017453292519943295,0.5,504.2936
0.03490658503988659,0.026179938779914945,0.5,656.8895
0.03490658503988659,0.03490658503988659,0.5,750.2241
-0.03490658503988659,-0.03490658503988659,0.6,-742.6803
-0.03490658503988659,-0.026179938779914945,0.6,-649.7339
-0.03490658503988659,-0.017453292519943295,0.6,-498.4004
-0.03490658503988659,-0.008726646259971648,0.6,-276.3068
-0.03490658503988659,0.0,0.6,0.0001
-0.03490658503988659,0.008726646259971648,0.6,276.3067
-0.03490658503988659,0.017453292519943295,0.6,498.4003
-0.03490658503988659,0.026179938779914945,0.6,649.7339
-0.03490658503988659,0.03490658503988659,0.6,742.6804
-0.026179938779914945,-0.03490658503988659,0.6,-833.9719
-0.026179938779914945,-0.026179938779914945,0.6,-751.5991
-0.026179938779914945,-0.017453292519943295,0.6,-612.6327
-0.026179938779914945,-0.008726646259971648,0.6,-362.2679
-0.026179938779914945,0.0,0.6,0.0
-0.026179938779914945,0.008726646259971648,0.6,362.2679
-0.026179938779914945,0.017453292519943295,0.6,612.6327
-0.026179938779914945,0.026179938779914945,0.6,751.5992
-0.026179938779914945,0.03490658503988659,0.6,833.9717
-0.017453292519943295,-0.03490658503988659,0.6,-944.4026
-0.017453292519943295,-0.026179938779914945,0.6,-874.1423
-0.017453292519943295,-0.017453292519943295,0.6,-757.3917
-0.017453292519943295,-0.008726646259971648,0.6,-506.2791
-0.017453292519943295,0.0,0.6,0.0
