alpha,beta,mach,Cl_r [1/rad]
0.0,-0.017453292519943295,0.5,0.0571
0.0,-0.008726646259971648,0.5,0.0282
0.0,0.0,0.5,-0.0
0.0,0.008726646259971648,0.5,0.0282
0.0,0.017453292519943295,0.5,0.0571
0.0,0.026179938779914945,0.5,0.0866
0.0,0.03490658503988659,0.5,0.1161
0.008726646259971648,-0.03490658503988659,0.5,0.1955
0.008726646259971648,-0.026179938779914945,0.5,0.1705
0.008726646259971648,-0.017453292519943295,0.5,0.1202
0.008726646259971648,-0.008726646259971648,0.5,0.0
0.008726646259971648,0.0,0.5,0.0282
0.008726646259971648,0.008726646259971648,0.5,0.0
0.008726646259971648,0.017453292519943295,0.5,-0.129
0.008726646259971648,0.026179938779914945,0.5,-0.118
0.008726646259971648,0.03490658503988659,0.5,-0.0583
0.017453292519943295,-0.03490658503988659,0.5,0.0991
0.017453292519943295,-0.026179938779914945,0.5,0.0357
0.017453292519943295,-0.017453292519943295,0.5,0.0
0.017453292519943295,-0.008726646259971648,0.5,-0.129
0.017453292519943295,0.0,0.5,0.0571
0.017453292519943295,0.008726646259971648,0.5,0.1202
0.017453292519943295,0.017453292519943295,0.5,0.0
0.017453292519943295,0.026179938779914945,0.5,-0.0822
0.017453292519943295,0.03490658503988659,0.5,-0.1159
0.026179938779914945,-0.03490658503988659,0.5,0.026
0.026179938779914945,-0.026179938779914945,0.5,0.0
0.026179938779914945,-0.017453292519943295,0.5,-0.0822
0.026179938779914945,-0.008726646259971648,0.5,-0.1179
0.026179938779914945,0.0,0.5,0.0867
0.026179938779914945,0.008726646259971648,0.5,0.1705
0.026179938779914945,0.017453292519943295,0.5,0.0357
0.026179938779914945,0.026179938779914945,0.5,0.0
0.026179938779914945,0.03490658503988659,0.5,-0.0616
0.03490658503988659,-0.03490658503988659,0.5,0.0
0.03490658503988659,-0.026179938779914945,0.5,-0.0616
0.03490658503988659,-0.017453292519943295,0.5,-0.1159
0.03490658503988659,-0.008726646259971648,0.5,-0.0583
0.03490658503988659,0.0,0.5,0.1161
0.03490658503988659,0.008726646259971648,0.5,0.1956
0.03490658503988659,0.017453292519943295,0.5,0.0991
0.03490658503988659,0.026179938779914945,0.5,0.026
0.03490658503988659,0.03490658503988659,0.5,0.0
-0.03490658503988659,-0.03490658503988659,0.6,0.0
-0.03490658503988659,-0.026179938779914945,0.6,0.0209
-0.03490658503988659,-0.017453292519943295,0.6,0.0888
-0.03490658503988659,-0.008726646259971648,0.6,0.1781
-0.03490658503988659,0.0,0.6,-0.1079
-0.03490658503988659,0.008726646259971648,0.6,-0.0402
-0.03490658503988659,0.017453292519943295,0.6,-0.1061
-0.03490658503988659,0.026179938779914945,0.6,-0.0556
-0.03490658503988659,0.03490658503988659,0.6,0.0
-0.026179938779914945,-0.03490658503988659,0.6,-0.0555
-0.026179938779914945,-0.026179938779914945,0.6,0.0
-0.026179938779914945,-0.017453292519943295,0.6,0.0288
-0.026179938779914945,-0.008726646259971648,0.6,0.1546
-0.026179938779914945,0.0,0.6,-0.0702
-0.026179938779914945,0.008726646259971648,0.6,-0.1092
-0.026179938779914945,0.017453292519943295,0.6,-0.0745
-0.026179938779914945,0.026179938779914945,0.6,0.0
-0.026179938779914945,0.03490658503988659,0.6,0.0209
-0.017453292519943295,-0.03490658503988659,0.6,-0.1061
-0.017453292519943295,-0.026179938779914945,0.6,-0.0745
-0.017453292519943295,-0.017453292519943295,0.6,0.0
