alpha,beta,mach,Cnr [1/rad]
-0.008726646259971648,-0.03490658503988659,0.5,184.3307
-0.008726646259971648,-0.026179938779914945,0.5,280.5023
-0.008726646259971648,-0.017453292519943295,0.5,435.2932
-0.008726646259971648,-0.008726646259971648,0.5,700.6923
-0.008726646259971648,0.0,0.5,-1119.8597
-0.008726646259971648,0.008726646259971648,0.5,700.6923
-0.008726646259971648,0.017453292519943295,0.5,461.5325
-0.008726646259971648,0.026179938779914945,0.5,331.4221
-0.008726646259971648,0.03490658503988659,0.5,258.675
0.0,-0.03490658503988659,0.5,-102.874
0.0,-0.026179938779914945,0.5,-92.9208
0.0,-0.017453292519943295,0.5,-81.7203
0.0,-0.008726646259971648,0.5,-69.6549
0.0,0.0,0.5,-1120.7125
0.0,0.008726646259971648,0.5,-44.492
0.0,0.017453292519943295,0.5,-32.2937
0.0,0.026179938779914945,0.5,-20.9508
0.0,0.03490658503988659,0.5,-10.8576
0.008726646259971648,-0.03490658503988659,0.5,-372.4065
0.008726646259971648,-0.026179938779914945,0.5,-445.2935
0.008726646259971648,-0.017453292519943295,0.5,-575.5464
0.008726646259971648,-0.008726646259971648,0.5,-814.8394
0.008726646259971648,0.0,0.5,-1119.8597
0.008726646259971648,0.008726646259971648,0.5,-814.8393
0.008726646259971648,0.017453292519943295,0.5,-549.3071
0.008726646259971648,0.026179938779914945,0.5,-394.3738
0.008726646259971648,0.03490658503988659,0.5,-298.0623
0.017453292519943295,-0.03490658503988659,0.5,-579.2448
0.017453292519943295,-0.026179938779914945,0.5,-678.3886
0.017453292519943295,-0.017453292519943295,0.5,-813.6911
0.017453292519943295,-0.008726646259971648,0.5,-1000.3218
0.017453292519943295,0.0,0.5,-1118.1937
0.017453292519943295,0.008726646259971648,0.5,-985.5857
0.017453292519943295,0.017453292519943295,0.5,-813.6912
0.017453292519943295,0.026179938779914945,0.5,-657.1188
0.017453292519943295,0.03490658503988659,0.5,-533.4955
0.026179938779914945,-0.03490658503988659,0.5,-713.9261
0.026179938779914945,-0.026179938779914945,0.5,-812.2908
0.026179938779914945,-0.017453292519943295,0.5,-936.288
0.026179938779914945,-0.008726646259971648,0.5,-1063.9658
0.026179938779914945,0.0,0.5,-1115.9371
0.026179938779914945,0.008726646259971648,0.5,-1041.9033
0.026179938779914945,0.017453292519943295,0.5,-924.83
0.026179938779914945,0.026179938779914945,0.5,-812.2909
0.026179938779914945,0.03490658503988659,0.5,-699.7416
0.03490658503988659,-0.03490658503988659,0.5,-810.7221
0.03490658503988659,-0.026179938779914945,0.5,-904.056
0.03490658503988659,-0.017453292519943295,0.5,-1004.9407
0.03490658503988659,-0.008726646259971648,0.5,-1089.5763
0.03490658503988659,0.0,0.5,-1113.1812
0.03490658503988659,0.008726646259971648,0.5,-1064.7947
0.03490658503988659,0.017453292519943295,0.5,-982.0809
0.03490658503988659,0.026179938779914945,0.5,-899.2903
0.03490658503988659,0.03490658503988659,0.5,-810.7221
-0.03490658503988659,-0.03490658503988659,0.6,690.7518
-0.03490658503988659,-0.026179938779914945,0.6,779.6641
-0.03490658503988659,-0.017453292519943295,0.6,863.7114
-0.03490658503988659,-0.008726646259971648,0.6,948.6367
-0.03490658503988659,0.0,0.6,-1128.0439
-0.03490658503988659,0.008726646259971648,0.6,977.1158
-0.03490658503988659,0.017453292519943295,0.6,889.4587
-0.03490658503988659,0.026179938779914945,0.6,785.8266
-0.03490658503988659,0.03490658503988659,0.6,690.752
-0.026179938779914945,-0.03490658503988659,0.6,579.7366
-0.026179938779914945,-0.026179938779914945,0.6,692.1086
-0.026179938779914945,-0.017453292519943295,0.6,805.6501
-0.026179938779914945,-0.008726646259971648,0.6,925.2695
-0.026179938779914945,0.0,0.6,-1131.1644
-0.026179938779914945,0.008726646259971648,0.6,950.39
-0.026179938779914945,0.017453292519943295,0.6,818.4419
-0.026179938779914945,0.026179938779914945,0.6,692.1088
-0.026179938779914945,0.03490658503988659,0.6,592.2799
-0.017453292519943295,-0.03490658503988659,0.6,414.2451
