alpha,beta,mach,Cn0 [-]
-0.008726646259971648,0.026179938779914945,0.5,1.6919
-0.008726646259971648,0.03490658503988659,0.5,2.2708
0.0,-0.03490658503988659,0.5,-2.2628
0.0,-0.026179938779914945,0.5,-1.6857
0.0,-0.017453292519943295,0.5,-1.119
0.0,-0.008726646259971648,0.5,-0.5585
0.0,0.0,0.5,-0.0
0.0,0.008726646259971648,0.5,0.5585
0.0,0.017453292519943295,0.5,1.119
0.0,0.026179938779914945,0.5,1.6857
0.0,0.03490658503988659,0.5,2.2628
0.008726646259971648,-0.03490658503988659,0.5,-2.2708
0.008726646259971648,-0.026179938779914945,0.5,-1.6919
0.008726646259971648,-0.017453292519943295,0.5,-1.123
0.008726646259971648,-0.008726646259971648,0.5,-0.5603
0.008726646259971648,0.0,0.5,0.0
0.008726646259971648,0.008726646259971648,0.5,0.5603
0.008726646259971648,0.017453292519943295,0.5,1.123
0.008726646259971648,0.026179938779914945,0.5,1.6919
0.008726646259971648,0.03490658503988659,0.5,2.2708
0.017453292519943295,-0.03490658503988659,0.5,-2.2927
0.017453292519943295,-0.026179938779914945,0.5,-1.7102
0.017453292519943295,-0.017453292519943295,0.5,-1.1352
0.017453292519943295,-0.008726646259971648,0.5,-0.5662
0.017453292519943295,0.0,0.5,0.0
0.017453292519943295,0.008726646259971648,0.5,0.5662
0.017453292519943295,0.017453292519943295,0.5,1.1352
0.017453292519943295,0.026179938779914945,0.5,1.7102
0.017453292519943295,0.03490658503988659,0.5,2.2927
0.026179938779914945,-0.03490658503988659,0.5,-2.3256
0.026179938779914945,-0.026179938779914945,0.5,-1.7382
0.026179938779914945,-0.017453292519943295,0.5,-1.1554
0.026179938779914945,-0.008726646259971648,0.5,-0.5763
0.026179938779914945,0.0,0.5,-0.0
0.026179938779914945,0.008726646259971648,0.5,0.5763
0.026179938779914945,0.017453292519943295,0.5,1.1554
0.026179938779914945,0.026179938779914945,0.5,1.7382
0.026179938779914945,0.03490658503988659,0.5,2.3256
0.03490658503988659,-0.03490658503988659,0.5,-2.3665
0.03490658503988659,-0.026179938779914945,0.5,-1.7731
0.03490658503988659,-0.017453292519943295,0.5,-1.1813
0.03490658503988659,-0.008726646259971648,0.5,-0.5904
0.03490658503988659,0.0,0.5,0.0
0.03490658503988659,0.008726646259971648,0.5,0.5904
0.03490658503988659,0.017453292519943295,0.5,1.1813
0.03490658503988659,0.026179938779914945,0.5,1.7731
0.03490658503988659,0.03490658503988659,0.5,2.3665
-0.03490658503988659,-0.03490658503988659,0.6,-2.4032
-0.03490658503988659,-0.026179938779914945,0.6,-1.8008
-0.03490658503988659,-0.017453292519943295,0.6,-1.1998
-0.03490658503988659,-0.008726646259971648,0.6,-0.5997
-0.03490658503988659,0.0,0.6,-0.0
-0.03490658503988659,0.008726646259971648,0.6,0.5997
-0.03490658503988659,0.017453292519943295,0.6,1.1998
-0.03490658503988659,0.026179938779914945,0.6,1.8008
-0.03490658503988659,0.03490658503988659,0.6,2.4032
-0.026179938779914945,-0.03490658503988659,0.6,-2.3629
-0.026179938779914945,-0.026179938779914945,0.6,-1.7663
-0.026179938779914945,-0.017453292519943295,0.6,-1.1742
-0.026179938779914945,-0.008726646259971648,0.6,-0.5858
-0.026179938779914945,0.0,0.6,-0.0
-0.026179938779914945,0.008726646259971648,0.6,0.5858
-0.026179938779914945,0.017453292519943295,0.6,1.1742
-0.026179938779914945,0.026179938779914945,0.6,1.7663
-0.026179938779914945,0.03490658503988659,0.6,2.3629
-0.017453292519943295,-0.03490658503988659,0.6,-2.3304
-0.017453292519943295,-0.026179938779914945,0.6,-1.7386
-0.017453292519943295,-0.017453292519943295,0.6,-1.1542
-0.017453292519943295,-0.008726646259971648,0.6,-0.5757
-0.017453292519943295,0.0,0.6,-0.0
-0.017453292519943295,0.008726646259971648,0.6,0.5757
-0.017453292519943295,0.017453292519943295,0.6,1.1542
