alpha,beta,mach,Cmr [1/rad]
-0.017453292519943295,0.017453292519943295,0.2,-752.9407
-0.017453292519943295,0.026179938779914945,0.2,-861.5597
-0.017453292519943295,0.03490658503988659,0.2,-917.185
-0.008726646259971648,-0.03490658503988659,0.2,1017.3744
-0.008726646259971648,-0.026179938779914945,0.2,993.9216
-0.008726646259971648,-0.017453292519943295,0.2,932.6857
-0.008726646259971648,-0.008726646259971648,0.2,754.0991
-0.008726646259971648,0.0,0.2,14.2277
-0.008726646259971648,0.008726646259971648,0.2,-754.0991
-0.008726646259971648,0.017453292519943295,0.2,-919.558
-0.008726646259971648,0.026179938779914945,0.2,-973.7869
-0.008726646259971648,0.03490658503988659,0.2,-995.9559
0.0,-0.03490658503988659,0.2,1041.4563
0.0,-0.026179938779914945,0.2,1043.4346
0.0,-0.017453292519943295,0.2,1044.9094
0.0,-0.008726646259971648,0.2,1045.995
0.0,0.0,0.2,0.0
0.0,0.008726646259971648,0.2,-1045.9949
0.0,0.017453292519943295,0.2,-1044.9093
0.0,0.026179938779914945,0.2,-1043.4346
0.0,0.03490658503988659,0.2,-1041.4562
0.008726646259971648,-0.03490658503988659,0.2,995.9561
0.008726646259971648,-0.026179938779914945,0.2,973.7869
0.008726646259971648,-0.017453292519943295,0.2,919.558
0.008726646259971648,-0.008726646259971648,0.2,754.0991
0.008726646259971648,0.0,0.2,-14.2276
0.008726646259971648,0.008726646259971648,0.2,-754.099
0.008726646259971648,0.017453292519943295,0.2,-932.6855
0.008726646259971648,0.026179938779914945,0.2,-993.9216
0.008726646259971648,0.03490658503988659,0.2,-1017.3743
0.017453292519943295,-0.03490658503988659,0.2,917.185
0.017453292519943295,-0.026179938779914945,0.2,861.5597
0.017453292519943295,-0.017453292519943295,0.2,752.9406
0.017453292519943295,-0.008726646259971648,0.2,490.7197
0.017453292519943295,0.0,0.2,-27.7723
0.017453292519943295,0.008726646259971648,0.2,-519.5296
0.017453292519943295,0.017453292519943295,0.2,-752.9406
0.017453292519943295,0.026179938779914945,0.2,-870.9642
0.017453292519943295,0.03490658503988659,0.2,-936.9517
0.026179938779914945,-0.03490658503988659,0.2,837.2688
0.026179938779914945,-0.026179938779914945,0.2,751.5169
0.026179938779914945,-0.017453292519943295,0.2,597.4386
0.026179938779914945,-0.008726646259971648,0.2,335.9879
0.026179938779914945,0.0,0.2,-40.1707
0.026179938779914945,0.008726646259971648,0.2,-390.9091
0.026179938779914945,0.017453292519943295,0.2,-621.5565
0.026179938779914945,0.026179938779914945,0.2,-751.5169
0.026179938779914945,0.03490658503988659,0.2,-839.7711
0.03490658503988659,-0.03490658503988659,0.2,749.9118
0.03490658503988659,-0.026179938779914945,0.2,639.4531
0.03490658503988659,-0.017453292519943295,0.2,473.8805
0.03490658503988659,-0.008726646259971648,0.2,239.1825
0.03490658503988659,0.0,0.2,-51.0406
0.03490658503988659,0.008726646259971648,0.2,-319.2323
0.03490658503988659,0.017453292519943295,0.2,-524.5842
0.03490658503988659,0.026179938779914945,0.2,-656.404
0.03490658503988659,0.03490658503988659,0.2,-749.9117
-0.03490658503988659,-0.03490658503988659,0.3,750.7928
-0.03490658503988659,-0.026179938779914945,0.3,656.6689
-0.03490658503988659,-0.017453292519943295,0.3,524.34
-0.03490658503988659,-0.008726646259971648,0.3,318.7085
-0.03490658503988659,0.0,0.3,49.898
-0.03490658503988659,0.008726646259971648,0.3,-239.302
-0.03490658503988659,0.017453292519943295,0.3,-474.4112
-0.03490658503988659,0.026179938779914945,0.3,-640.2437
-0.03490658503988659,0.03490658503988659,0.3,-750.7929
-0.026179938779914945,-0.03490658503988659,0.3,841.288
-0.026179938779914945,-0.026179938779914945,0.3,752.3762
-0.026179938779914945,-0.017453292519943295,0.3,621.6904
-0.026179938779914945,-0.008726646259971648,0.3,390.6074
-0.026179938779914945,0.0,0.3,39.1527
-0.026179938779914945,0.008726646259971648,0.3,-336.0986
-0.026179938779914945,0.017453292519943295,0.3,-598.1017
-0.026179938779914945,0.026179938779914945,0.3,-752.3761
-0.026179938779914945,0.03490658503988659,0.3,-838.3447
-0.017453292519943295,-0.03490658503988659,0.3,939.006
-0.017453292519943295,-0.026179938779914945,0.3,872.6559
-0.017453292519943295,-0.017453292519943295,0.3,753.7802
-0.017453292519943295,-0.008726646259971648,0.3,519.5196
-0.017453292519943295,0.0,0.3,26.9921
-0.017453292519943295,0.008726646259971648,0.3,-491.1255
-0.017453292519943295,0.017453292519943295,0.3,-753.7802
-0.017453292519943295,0.026179938779914945,0.3,-862.8535
-0.017453292519943295,0.03490658503988659,0.3,-918.7816
-0.008726646259971648,-0.03490658503988659,0.3,1020.0172
-0.008726646259971648,-0.026179938779914945,0.3,996.1697
-0.008726646259971648,-0.017453292519943295,0.3,934.7549
-0.008726646259971648,-0.008726646259971648,0.3,754.9226
-0.008726646259971648,0.0,0.3,13.795
-0.008726646259971648,0.008726646259971648,0.3,-754.9227
-0.008726646259971648,0.017453292519943295,0.3,-921.3625
-0.008726646259971648,0.026179938779914945,0.3,-975.9735
-0.008726646259971648,0.03490658503988659,0.3,-998.2678
0.0,-0.03490658503988659,0.3,1043.978
0.0,-0.026179938779914945,0.3,1046.1053
0.0,-0.017453292519943295,0.3,1047.7615
0.0,-0.008726646259971648,0.3,1048.9932
0.0,0.0,0.3,0.0
0.0,0.008726646259971648,0.3,-1048.9929
0.0,0.017453292519943295,0.3,-1047.7614
0.0,0.026179938779914945,0.3,-1046.1052
0.0,0.03490658503988659,0.3,-1043.978
0.008726646259971648,-0.03490658503988659,0.3,998.2679
0.008726646259971648,-0.026179938779914945,0.3,975.9735
0.008726646259971648,-0.017453292519943295,0.3,921.3625
0.008726646259971648,-0.008726646259971648,0.3,754.9227
0.008726646259971648,0.0,0.3,-13.795
0.008726646259971648,0.008726646259971648,0.3,-754.9226
0.008726646259971648,0.017453292519943295,0.3,-934.7549
0.008726646259971648,0.026179938779914945,0.3,-996.1697
0.008726646259971648,0.03490658503988659,0.3,-1020.0172
0.017453292519943295,-0.03490658503988659,0.3,918.7816
0.017453292519943295,-0.026179938779914945,0.3,862.8535
0.017453292519943295,-0.017453292519943295,0.3,753.7802
0.017453292519943295,-0.008726646259971648,0.3,491.1254
0.017453292519943295,0.0,0.3,-26.9921
0.017453292519943295,0.008726646259971648,0.3,-519.5195
0.017453292519943295,0.017453292519943295,0.3,-753.7801
0.017453292519943295,0.026179938779914945,0.3,-872.6557
0.017453292519943295,0.03490658503988659,0.3,-939.0059
0.026179938779914945,-0.03490658503988659,0.3,838.3447
0.026179938779914945,-0.026179938779914945,0.3,752.376
0.026179938779914945,-0.017453292519943295,0.3,598.1016
0.026179938779914945,-0.008726646259971648,0.3,336.0985
0.026179938779914945,0.0,0.3,-39.1527
0.026179938779914945,0.008726646259971648,0.3,-390.6074
0.026179938779914945,0.017453292519943295,0.3,-621.6904
0.026179938779914945,0.026179938779914945,0.3,-752.3761
0.026179938779914945,0.03490658503988659,0.3,-841.288
0.03490658503988659,-0.03490658503988659,0.3,750.7929
0.03490658503988659,-0.026179938779914945,0.3,640.2437
0.03490658503988659,-0.017453292519943295,0.3,474.411
0.03490658503988659,-0.008726646259971648,0.3,239.3017
0.03490658503988659,0.0,0.3,-49.8979
0.03490658503988659,0.008726646259971648,0.3,-318.7083
0.03490658503988659,0.017453292519943295,0.3,-524.34
0.03490658503988659,0.026179938779914945,0.3,-656.6686
