alpha,beta,mach,CQr [1/rad]
-0.026179938779914945,-0.03490658503988659,0.5,-93.99951393903011
-0.026179938779914945,-0.026179938779914945,0.5,-114.48740091884315
-0.026179938779914945,-0.017453292519943295,0.5,-135.1783623868463
-0.026179938779914945,-0.008726646259971648,0.5,-156.59629435204053
-0.026179938779914945,0.0,0.5,209.22
-0.026179938779914945,0.008726646259971648,0.5,-158.52614174041153
-0.026179938779914945,0.017453292519943295,0.5,-133.9418136281804
-0.026179938779914945,0.026179938779914945,0.5,-109.7738167001184
-0.026179938779914945,0.03490658503988659,0.5,-90.04554541128822
-0.017453292519943295,-0.03490658503988659,0.5,-64.2674876745665
-0.017453292519943295,-0.026179938779914945,0.5,-86.74049024552762
-0.017453292519943295,-0.017453292519943295,0.5,-115.30663682850277
-0.017453292519943295,-0.008726646259971648,0.5,-146.5283365225312
-0.017453292519943295,0.0,0.5,209.6229
-0.017453292519943295,0.008726646259971648,0.5,-147.15019853331313
-0.017453292519943295,0.017453292519943295,0.5,-112.02413684530434
-0.017453292519943295,0.026179938779914945,0.5,-85.82656762599461
-0.017453292519943295,0.03490658503988659,0.5,-65.95027172446788
-0.008726646259971648,-0.03490658503988659,0.5,-22.164828586411403
-0.008726646259971648,-0.026179938779914945,0.5,-39.76299516717827
-0.008726646259971648,-0.017453292519943295,0.5,-68.04241598531839
-0.008726646259971648,-0.008726646259971648,0.5,-116.00639727748896
-0.008726646259971648,0.0,0.5,209.9203
-0.008726646259971648,0.008726646259971648,0.5,-113.99517386162998
-0.008726646259971648,0.017453292519943295,0.5,-69.44880056718053
-0.008726646259971648,0.026179938779914945,0.5,-44.14679129623634
-0.008726646259971648,0.03490658503988659,0.5,-28.95663884316711
0.0,-0.03490658503988659,0.5,29.195004351543442
0.0,-0.026179938779914945,0.5,27.000544416124804
0.0,-0.017453292519943295,0.5,24.3793863357678
0.0,-0.008726646259971648,0.5,21.68927410745418
0.0,0.0,0.5,210.0725
0.0,0.008726646259971648,0.5,19.203068778139734
0.0,0.017453292519943295,0.5,18.828831840876614
0.0,0.026179938779914945,0.5,18.854636772096484
0.0,0.03490658503988659,0.5,19.245069277741322
0.008726646259971648,-0.03490658503988659,0.5,77.39671250290704
0.008726646259971648,-0.026179938779914945,0.5,90.00197248445764
0.008726646259971648,-0.017453292519943295,0.5,112.65711872859445
0.008726646259971648,-0.008726646259971648,0.5,154.8875167472239
0.008726646259971648,0.0,0.5,209.9203
0.008726646259971648,0.008726646259971648,0.5,156.89884015927515
0.008726646259971648,0.017453292519943295,0.5,111.25073414673231
0.008726646259971648,0.026179938779914945,0.5,85.61817635539956
0.008726646259971648,0.03490658503988659,0.5,70.60490221569617
0.017453292519943295,-0.03490658503988659,0.5,114.39034535375265
0.017453292519943295,-0.026179938779914945,0.5,131.68174881421592
0.017453292519943295,-0.017453292519943295,0.5,155.23245500671828
0.017453292519943295,-0.008726646259971648,0.5,188.04254141890706
0.017453292519943295,0.0,0.5,209.6229
0.017453292519943295,0.008726646259971648,0.5,187.42067939289518
